LocationID,LocationName,ParentCorpID,Exchange,TickerSymbol,lon,lat,location,Business_functions,df_tx90p,df_pdsisc,df_coastalflood
1,Boise,"Micron Technology, Inc.",NYSE,MU,-116.149136,43.529396,Boise_Idaho,,tx90p-1,pdsisc-1,coastalflood-1
2,Manassas,"Micron Technology, Inc.",NYSE,MU,-77.503845,38.750829,Manassas_Virginia,,tx90p-2,pdsisc-2,coastalflood-2
3,Singapore_Hqs,"Micron Technology, Inc.",NYSE,MU,103.864621,1.31839,Singapore,,tx90p-1,pdsisc-1,coastalflood-1
4,Singapore_300mm_DRAM,"Micron Technology, Inc.",NYSE,MU,103.767569,1.432186,Singapore,,tx90p-1,pdsisc-1,coastalflood-1
5,Singapore_300mm_NAND,"Micron Technology, Inc.",NYSE,MU,103.793645,1.454831,Singapore,,tx90p-1,pdsisc-1,coastalflood-1
6,Singapore_200mm_NOR,"Micron Technology, Inc.",NYSE,MU,103.866405,1.37479,Singapore,,tx90p-1,pdsisc-1,coastalflood-1
7,Catania,"Micron Technology, Inc.",NYSE,MU,14.99,37.421801,Catania_Italy,,tx90p-1,pdsisc-1,coastalflood-1
8,Bangalore,"Micron Technology, Inc.",NYSE,MU,77.623906,12.982352,Bangalore_India,,tx90p-1,pdsisc-1,coastalflood-1
9,American_Falls,"IDACORP, Inc",NYSE,IDA,-112.8764,42.7778,American_Falls_ID,,tx90p-1,pdsisc-1,coastalflood-1
10,Bliss,"IDACORP, Inc",NYSE,IDA,-115.070986,42.913786,Bliss_ID,,tx90p-1,pdsisc-1,coastalflood-1
11,Brownlee,"IDACORP, Inc",NYSE,IDA,-116.8975,44.8367,Cambridge_ID,,tx90p-1,pdsisc-1,coastalflood-1
12,C_J_Strike,"IDACORP, Inc",NYSE,IDA,-115.977858,42.944869,Bruneau_ID,,tx90p-1,pdsisc-1,coastalflood-1
13,Cascade_Dam,"IDACORP, Inc",NYSE,IDA,-116.0483,44.5256,Cascade_ID,,tx90p-1,pdsisc-1,coastalflood-1
14,Clear_Lake,"IDACORP, Inc",NYSE,IDA,-114.78012,42.66701,Buhl_ID,,tx90p-1,pdsisc-1,coastalflood-1
15,Lower_Malad,"IDACORP, Inc",NYSE,IDA,-114.906172,42.865783,Hagerman_ID,,tx90p-1,pdsisc-1,coastalflood-1
16,Lower_Salmon,"IDACORP, Inc",NYSE,IDA,-114.903611,42.841608,Hagerman_ID,,tx90p-1,pdsisc-1,coastalflood-1
17,Salmon_Diesel,"IDACORP, Inc",NYSE,IDA,-113.885307,45.183368,Salmon_ID,,tx90p-1,pdsisc-1,coastalflood-1
18,Shoshone_Falls,"IDACORP, Inc",NYSE,IDA,-114.4033,42.5975,Twin_Falls_ID,,tx90p-1,pdsisc-1,coastalflood-1
19,Swan_Falls,"IDACORP, Inc",NYSE,IDA,-116.3791,43.2435,Kuna_ID,,tx90p-1,pdsisc-1,coastalflood-1
20,Thousand_Springs,"IDACORP, Inc",NYSE,IDA,-114.836722,42.740542,Wendell_ID,,tx90p-1,pdsisc-1,coastalflood-1
21,Twin_Falls_(ID),"IDACORP, Inc",NYSE,IDA,-114.3553,42.5892,Kimberly_ID,,tx90p-1,pdsisc-1,coastalflood-1
22,Upper_Salmon_A,"IDACORP, Inc",NYSE,IDA,-114.924692,42.767422,Hagerman_ID,,tx90p-1,pdsisc-1,coastalflood-1
23,Upper_Malad,"IDACORP, Inc",NYSE,IDA,-114.885542,42.864267,Hagerman_ID,,tx90p-1,pdsisc-1,coastalflood-1
24,Hells_Canyon,"IDACORP, Inc",NYSE,IDA,-116.7008,45.2439,Oxbow_OR,,tx90p-1,pdsisc-1,coastalflood-1
25,Oxbow_(OR),"IDACORP, Inc",NYSE,IDA,-116.835042,44.971643,Oxbow_OR,,tx90p-1,pdsisc-1,coastalflood-1
26,Upper_Salmon_B,"IDACORP, Inc",NYSE,IDA,-114.908236,42.766397,Hagerman_ID,,tx90p-1,pdsisc-1,coastalflood-1
27,Milner_Hydro,"IDACORP, Inc",NYSE,IDA,-114.036889,42.526786,Murtaugh_ID,,tx90p-1,pdsisc-1,coastalflood-1
28,Evander_Andrews_Power_Complex,"IDACORP, Inc",NYSE,IDA,-115.734315,43.179176,Mountain_Home_ID,,tx90p-1,pdsisc-1,coastalflood-1
29,Bennett_Mountain,"IDACORP, Inc",NYSE,IDA,-115.666637,43.147153,Mountain_Home_ID,,tx90p-1,pdsisc-1,coastalflood-1
30,Langley_Gulch_Power_Plant,"IDACORP, Inc",NYSE,IDA,-116.819722,43.904444,New_Plymouth_ID,,tx90p-1,pdsisc-1,coastalflood-1
