Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioID,RiskYear,ValueAtRisk
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2018,1.2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2019,1.2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2020,1.3
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2021,1.5
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2022,1.5
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2023,1.5
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2024,1.7
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2025,1.7
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2026,1.7
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2027,1.7
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2028,2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2029,2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2030,2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2031,2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2032,2.2
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2018,0.6
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2019,0.6
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2020,0.65
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2021,0.75
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2022,0.75
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2023,0.75
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2024,0.85
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2025,0.85
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2026,0.85
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2027,0.85
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2028,1
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2029,1
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2030,1
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2031,1
Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2032,1.1
Boise,Transition,Policy & Legal,Exposure to litigation,1,2018,0.48
Boise,Transition,Policy & Legal,Exposure to litigation,1,2019,0.48
Boise,Transition,Policy & Legal,Exposure to litigation,1,2020,0.52
Boise,Transition,Policy & Legal,Exposure to litigation,1,2021,0.6
Boise,Transition,Policy & Legal,Exposure to litigation,1,2022,0.6
Boise,Transition,Policy & Legal,Exposure to litigation,1,2023,0.6
Boise,Transition,Policy & Legal,Exposure to litigation,1,2024,0.68
Boise,Transition,Policy & Legal,Exposure to litigation,1,2025,0.68
Boise,Transition,Policy & Legal,Exposure to litigation,1,2026,0.68
Boise,Transition,Policy & Legal,Exposure to litigation,1,2027,0.68
Boise,Transition,Policy & Legal,Exposure to litigation,1,2028,0.8
Boise,Transition,Policy & Legal,Exposure to litigation,1,2029,0.8
Boise,Transition,Policy & Legal,Exposure to litigation,1,2030,0.8
Boise,Transition,Policy & Legal,Exposure to litigation,1,2031,0.8
Boise,Transition,Policy & Legal,Exposure to litigation,1,2032,0.88
Boise,Transition,Policy & Legal,Exposure to litigation,2,2018,0.24
Boise,Transition,Policy & Legal,Exposure to litigation,2,2019,0.24
Boise,Transition,Policy & Legal,Exposure to litigation,2,2020,0.26
Boise,Transition,Policy & Legal,Exposure to litigation,2,2021,0.3
Boise,Transition,Policy & Legal,Exposure to litigation,2,2022,0.3
Boise,Transition,Policy & Legal,Exposure to litigation,2,2023,0.3
Boise,Transition,Policy & Legal,Exposure to litigation,2,2024,0.34
Boise,Transition,Policy & Legal,Exposure to litigation,2,2025,0.34
Boise,Transition,Policy & Legal,Exposure to litigation,2,2026,0.34
Boise,Transition,Policy & Legal,Exposure to litigation,2,2027,0.34
Boise,Transition,Policy & Legal,Exposure to litigation,2,2028,0.4
Boise,Transition,Policy & Legal,Exposure to litigation,2,2029,0.4
Boise,Transition,Policy & Legal,Exposure to litigation,2,2030,0.4
Boise,Transition,Policy & Legal,Exposure to litigation,2,2031,0.4
Boise,Transition,Policy & Legal,Exposure to litigation,2,2032,0.44
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2018,0.24
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2019,0.24
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2020,0.26
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2021,0.3
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2022,0.3
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2023,0.3
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2024,0.34
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2025,0.34
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2026,0.34
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2027,0.34
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2028,0.4
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2029,0.4
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2030,0.4
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2031,0.4
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2032,0.44
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2018,0.12
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2019,0.12
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2020,0.13
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2021,0.15
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2022,0.15
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2023,0.15
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2024,0.17
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2025,0.17
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2026,0.17
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2027,0.17
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2028,0.2
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2029,0.2
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2030,0.2
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2031,0.2
Boise,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2032,0.22
Boise,Physical,Chronic,Temperature extremes,1,2018,1.2
