0 0	-178.75 -58.75
1 0	-176.25 -58.75
2 0	-173.75 -58.75
3 0	-171.25 -58.75
4 0	-168.75 -58.75
5 0	-166.25 -58.75
6 0	-163.75 -58.75
7 0	-161.25 -58.75
8 0	-158.75 -58.75
9 0	-156.25 -58.75
10 0	-153.75 -58.75
11 0	-151.25 -58.75
12 0	-148.75 -58.75
13 0	-146.25 -58.75
14 0	-143.75 -58.75
15 0	-141.25 -58.75
16 0	-138.75 -58.75
17 0	-136.25 -58.75
18 0	-133.75 -58.75
19 0	-131.25 -58.75
20 0	-128.75 -58.75
21 0	-126.25 -58.75
22 0	-123.75 -58.75
23 0	-121.25 -58.75
24 0	-118.75 -58.75
25 0	-116.25 -58.75
26 0	-113.75 -58.75
27 0	-111.25 -58.75
28 0	-108.75 -58.75
29 0	-106.25 -58.75
30 0	-103.75 -58.75
31 0	-101.25 -58.75
32 0	-98.75 -58.75
33 0	-96.25 -58.75
34 0	-93.75 -58.75
35 0	-91.25 -58.75
36 0	-88.75 -58.75
37 0	-86.25 -58.75
38 0	-83.75 -58.75
39 0	-81.25 -58.75
40 0	-78.75 -58.75
41 0	-76.25 -58.75
42 0	-73.75 -58.75
43 0	-71.25 -58.75
44 0	-68.75 -58.75
45 0	-66.25 -58.75
46 0	-63.75 -58.75
47 0	-61.25 -58.75
48 0	-58.75 -58.75
49 0	-56.25 -58.75
50 0	-53.75 -58.75
51 0	-51.25 -58.75
52 0	-48.75 -58.75
53 0	-46.25 -58.75
54 0	-43.75 -58.75
55 0	-41.25 -58.75
56 0	-38.75 -58.75
57 0	-36.25 -58.75
58 0	-33.75 -58.75
59 0	-31.25 -58.75
60 0	-28.75 -58.75
61 0	-26.25 -58.75
62 0	-23.75 -58.75
63 0	-21.25 -58.75
64 0	-18.75 -58.75
65 0	-16.25 -58.75
66 0	-13.75 -58.75
67 0	-11.25 -58.75
68 0	-8.75 -58.75
69 0	-6.25 -58.75
70 0	-3.75 -58.75
71 0	-1.25 -58.75
72 0	1.25 -58.75
73 0	3.75 -58.75
74 0	6.25 -58.75
75 0	8.75 -58.75
76 0	11.25 -58.75
77 0	13.75 -58.75
78 0	16.25 -58.75
79 0	18.75 -58.75
80 0	21.25 -58.75
81 0	23.75 -58.75
82 0	26.25 -58.75
83 0	28.75 -58.75
84 0	31.25 -58.75
85 0	33.75 -58.75
86 0	36.25 -58.75
87 0	38.75 -58.75
88 0	41.25 -58.75
89 0	43.75 -58.75
90 0	46.25 -58.75
91 0	48.75 -58.75
92 0	51.25 -58.75
93 0	53.75 -58.75
94 0	56.25 -58.75
95 0	58.75 -58.75
96 0	61.25 -58.75
97 0	63.75 -58.75
98 0	66.25 -58.75
99 0	68.75 -58.75
100 0	71.25 -58.75
101 0	73.75 -58.75
102 0	76.25 -58.75
103 0	78.75 -58.75
104 0	81.25 -58.75
105 0	83.75 -58.75
106 0	86.25 -58.75
107 0	88.75 -58.75
108 0	91.25 -58.75
109 0	93.75 -58.75
110 0	96.25 -58.75
111 0	98.75 -58.75
112 0	101.25 -58.75
113 0	103.75 -58.75
114 0	106.25 -58.75
115 0	108.75 -58.75
116 0	111.25 -58.75
117 0	113.75 -58.75
118 0	116.25 -58.75
119 0	118.75 -58.75
120 0	121.25 -58.75
121 0	123.75 -58.75
122 0	126.25 -58.75
123 0	128.75 -58.75
124 0	131.25 -58.75
125 0	133.75 -58.75
126 0	136.25 -58.75
127 0	138.75 -58.75
128 0	141.25 -58.75
129 0	143.75 -58.75
130 0	146.25 -58.75
131 0	148.75 -58.75
132 0	151.25 -58.75
133 0	153.75 -58.75
134 0	156.25 -58.75
135 0	158.75 -58.75
136 0	161.25 -58.75
137 0	163.75 -58.75
138 0	166.25 -58.75
139 0	168.75 -58.75
140 0	171.25 -58.75
141 0	173.75 -58.75
142 0	176.25 -58.75
143 0	178.75 -58.75
0 1	-178.75 -56.25
1 1	-176.25 -56.25
2 1	-173.75 -56.25
3 1	-171.25 -56.25
4 1	-168.75 -56.25
5 1	-166.25 -56.25
6 1	-163.75 -56.25
7 1	-161.25 -56.25
8 1	-158.75 -56.25
9 1	-156.25 -56.25
10 1	-153.75 -56.25
