"Join_Count,N,9,0","TARGET_FID,N,9,0","CLSFID,N,9,0","ADMINID,N,19,5","COUNTRYID,N,19,5","LATI,N,19,5","LENGTH,N,19,5","LONGI,N,19,5","rp00005,N,19,15","rp00010,N,19,15","rp00002,N,19,15","rp00500,N,19,15","rp00100,N,19,15","Station,C,80","rp00050,N,19,15","rp00250,N,19,15","Nr,N,10,0","rp01000,N,19,15","rp00025,N,19,15"
1,0,5105,4,32,75.918,86.08,-122.645,0.494546266,0.5346642474,0.4339530499,0.7465397716,0.6602840129,diva_id__5809,0.6229575496,0.7094304037,6277,0.7836223088,0.5853534232
1,1,5114,4,32,75.891,123.51,-121.031,0.5431566629,0.5825703178,0.4836272444,0.7907260748,0.7059846551,diva_id__5817,0.6693135093,0.7542682131,6285,0.827157577,0.6323695753
1,2,5119,4,32,77.534,2860.45703,-116.799,0.3992886265,0.4384390798,0.3401567413,0.645204787,0.5610292645,diva_id__5822,0.5246030061,0.6089903883,6290,0.681393002,0.4879057812
1,3,5131,4,32,75.968,467.98801,-118.191,0.5454649694,0.5864570162,0.4835515865,0.8029487511,0.7148137062,diva_id__5832,0.6766739973,0.7650308676,6300,0.8408392193,0.638250576
1,4,5165,4,32,74.963,520.49103,-115.022,0.7217387886,0.7711176798,0.6471581215,1.0319029454,0.9257357465,diva_id__5863,0.8797927726,0.9862271818,6331,1.0775456848,0.8335080396
1,5,5166,4,32,75.853,1857.20898,-114.982,0.5661899438,0.6040345544,0.5090303714,0.8039037008,0.7225358084,diva_id__5864,0.6873245286,0.7688972143,6332,0.8388848771,0.6518513202
1,6,5201,4,32,77.939,204.60201,-115.077,0.390454924,0.4301143644,0.330554277,0.6395681911,0.5542983196,diva_id__5896,0.5173984907,0.6028829763,6364,0.6762268819,0.4802241725
1,7,5167,4,32,74.995,1461.14795,-112.533,0.7672975558,0.8179894103,0.690733821,1.0857088433,0.9767187045,diva_id__5865,0.9295541269,1.0388185809,6333,1.1325652034,0.8820387028
1,8,5168,4,32,76.163,331.10199,-112.433,0.5411380119,0.5848966772,0.475045996,0.8159997845,0.7219163649,diva_id__5866,0.6812025463,0.7755227626,6334,0.8564475408,0.6401858669
1,9,5170,4,32,75.838,161.72501,-111.468,0.5472938032,0.5894576514,0.4836105602,0.8121380335,0.7214835544,diva_id__1004,0.6822535812,0.7731362269,1475,0.8511116412,0.6427317853
1,10,5171,4,32,75.569,111.485,-110.497,0.5532587486,0.5945155301,0.4909455168,0.8124054112,0.7237011728,diva_id__5868,0.6853151502,0.7742426465,6336,0.8505405835,0.6466435828
1,11,5172,2445,32,75.518,128.271,-109.424,0.5568611319,0.5978710423,0.4949207681,0.8144571205,0.7262836679,diva_id__5869,0.6881273384,0.776522713,6337,0.8523641007,0.6496871728
1,12,5174,2445,32,75.857,14.401,-109.938,0.5497976624,0.5909718155,0.4876092306,0.8084253102,0.7198987273,diva_id__5873,0.6815895836,0.7703389774,6341,0.8464841061,0.642995467
1,13,5176,4,32,75.893,12.033,-110.052,0.5497976624,0.5909718155,0.4876092306,0.8084253102,0.7198987273,diva_id__5873,0.6815895836,0.7703389774,6341,0.8464841061,0.642995467
1,14,5177,2445,32,76.735,439.25299,-108.458,0.5737242308,0.6170539622,0.5082800662,0.8458917361,0.7527305469,diva_id__5874,0.7124158158,0.8058114806,6342,0.8859430129,0.6718011928
1,15,5178,4,32,76.36,100.796,-110.388,0.5409056307,0.5837375232,0.4762133897,0.8099460552,0.7178552457,diva_id__5875,0.6780037125,0.7703263036,6343,0.8495371611,0.637855733
1,16,5179,2445,32,76.128,151.06,-109.381,0.550206626,0.5916675406,0.4875850765,0.8106355124,0.7214923771,diva_id__5876,0.6829164254,0.7722839234,6344,0.8489593726,0.6440535162
1,17,5180,2445,32,75.924,14.2,-109.938,0.5497976624,0.5909718155,0.4876092306,0.8084253102,0.7198987273,diva_id__5873,0.6815895836,0.7703389774,6341,0.8464841061,0.642995467
