facility lon lat location modifications
Micron_Boise -116.149136 43.529396 Boise_Idaho -
Micron_Manassas -77.503845 38.750829 Manassas_Virginia -
Micron_Singapore_Hqs 103.864621 1.318390 Singapore - 
Micron_Singapore_300mm_DRAM 103.767569 1.432186 Singapore -
Micron_Singapore_300mm_NAND 103.793645 1.454831 Singapore -
Micron_Singapore_200mm_NOR 103.866405 1.374790 Singapore -
Micron_Catania 14.99 37.421801 Catania_Italy XXX_original_lon=15.056097_moved_west_4landpoint
Micron_Bangalore 77.623906 12.982352 Bangalore_India -
   
   
