Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,7.58239,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,6.83915,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,19.4407,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,32.525,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,56.1526,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,70.9569,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,81.4676,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,105.565,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,128.133,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,0,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,0,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,0,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,0.741638,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,26.9528,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,51.12,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,51.12,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2010,40.04,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2020,8.04,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2030,16.12,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2040,48.28,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2050,40.2,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2060,56.28,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2070,64.36,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2080,56.44,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2090,48.36,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0.758239,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0.683915,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,1.94407,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,3.2525,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,5.61526,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,7.09569,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,8.14676,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,10.5565,1
