Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,0,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,0.698922,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,0.645786,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,0.44118,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,1.82887,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,3.24994,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,5.72335,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,8.95224,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,0.0931896,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,0.0861048,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,0.058824,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,0.24385,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,0.433325,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,0.763114,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,1.19363,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2010,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2020,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2030,0.0815409,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2040,0.0753417,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2050,0.051471,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2060,0.213368,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2070,0.379159,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2080,0.667724,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2090,1.04443,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,0.0582435,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,0.0538155,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,0.036765,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,0.152406,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,0.270828,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,0.476946,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,0.74602,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,0.116487,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,0.107631,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,0.07353,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,0.304812,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,0.541656,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,0.953892,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,1.49204,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,0.815409,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,0.753417,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,0.51471,1
