Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,0.9852,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,6.2324,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,7.9432,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,7.9804,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,11.4352,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,11.4352,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,16.4208,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,22.9948,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,27.4936,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,0.103544,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,0.095672,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,0.06536,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,0.270944,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,0.481472,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,0.847904,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,1.32626,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2010,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2020,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2030,0.090601,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2040,0.083713,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2050,0.05719,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2060,0.237076,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2070,0.421288,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2080,0.741916,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2090,1.16047,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,0.064715,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,0.059795,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,0.04085,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,0.16934,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,0.30092,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,0.52994,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,0.82891,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,0.12943,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,0.11959,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,0.0817,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,0.33868,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,0.60184,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,1.05988,1
Boise,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,1.65782,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,0.90601,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,0.83713,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,0.5719,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,2.37076,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,4.21288,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,7.41916,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,11.6047,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,0.077658,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,0.071754,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,0.04902,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,0.203208,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,0.361104,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,0.635928,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,0.994692,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,0,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,0,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,1.2943,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,1.1959,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,0.817,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,3.3868,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,6.0184,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,10.5988,1
