Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,13.0637,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,11.506,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,37.1106,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,70.9655,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,113.905,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,148.108,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,162.73,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,204.347,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,227.244,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,2.887,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,9.4088,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,41.0522,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,62.9375,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,78.9813,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,145.956,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,297.016,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,320,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,320,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2010,45,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2020,5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2030,40,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2040,105,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2050,75,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2060,115,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2070,145,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2080,155,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2090,125,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,1.30637,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,1.1506,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,3.71106,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,7.09655,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,11.3905,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,14.8108,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,16.273,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,20.4347,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,22.7244,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,3.48366,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,3.06826,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,9.89615,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,18.9241,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,30.3748,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,39.4956,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,43.3946,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,54.4926,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,60.5985,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,3.26594,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,2.87649,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,9.27765,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,17.7413,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,28.4764,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,37.0271,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,40.6824,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,51.0868,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,56.8111,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,1.74183,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,1.53413,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,4.94808,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,9.46205,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,15.1874,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,19.7478,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,21.6973,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,27.2463,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,30.2993,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,2.61275,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,2.30119,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,7.4221,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,14.193,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,22.7811,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,29.6217,1
MU,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,32.5459,1
