Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,0.77658,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,0.71754,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,0.4902,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,2.03208,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,3.61104,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,6.35928,1
Boise,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,9.94692,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,0.103544,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,0.095672,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,0.06536,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,0.270944,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,0.481472,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,0.847904,1
Boise,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,1.32626,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2010,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2020,0,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2030,0.090601,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2040,0.083713,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2050,0.05719,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2060,0.237076,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2070,0.421288,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2080,0.741916,1
Boise,  Transition Risk,Technology,New technology ,RCP8.5,2090,1.16047,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0,1
Boise,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,0.064715,1
