station_id name location_param location_param_+/-95pctconf scale_param scale_param_+/-95pctconf shape_param shape_param_+/-95pctconf
1611400 Nawiliwili	0.258 0.017 0.062	0.011	0.028 0.082
1612340 Honolulu	0.255 0.012 0.056	0.008	-0.182 0.112
1612480 Mokuoloe	0.293 0.016 0.051	0.011	-0.174 0.174
1615680 Kahului	0.280 0.014 0.048	0.010	-0.186 0.174
1617760 Hilo	0.301 0.016 0.060	0.012	-0.298 0.162
1619000 JohnstonAtoll	0.350 0.024 0.082	0.017	0.007 0.146
1619910 MidwayAtoll	0.366 0.031 0.114	0.021	-0.050 0.146
1630000 Guam	0.233 0.018 0.066	0.012	-0.022 0.115
1770000 PagoPago	0.284 0.018 0.066	0.011	-0.278 0.091
1820000 Kwajalein	0.448 0.014 0.053	0.009	-0.272 0.115
1840000 Chuuk	0.246 0.021 0.064	0.015	-0.026 0.142
1890000 WakeIsland	0.322 0.020 0.071	0.015	0.222 0.163
2695540 Bermuda	0.367 0.021 0.078	0.015	0.005 0.179
8410140 Eastport	1.044 0.023 0.094	0.016	0.000 0.139
8413320 BarHarbor	0.754 0.026 0.092	0.019	-0.008 0.189
8418150 Portland	0.714 0.023 0.103	0.017	0.038 0.159
8419870 SeaveyIsland	0.637 0.037 0.120	0.027	-0.035 0.231
8443970 Boston	0.764 0.031 0.133	0.023	0.019 0.156
8447930 WoodsHole	0.565 0.040 0.161	0.032	0.240 0.157
8449130 NantucketIsland	0.504 0.041 0.125	0.030	0.052 0.210
8452660 Newport	0.582 0.032 0.131	0.027	0.290 0.170
8454000 Providence	0.720 0.054 0.190	0.046	0.323 0.230
8461490 NewLondon	0.618 0.048 0.188	0.037	0.158 0.158
8467150 Bridgeport	0.704 0.052 0.160	0.037	-0.037 0.198
8510560 Montauk	0.608 0.048 0.173	0.037	0.118 0.190
8514560 PortJefferson	0.683 0.097 0.216	0.079	0.022 0.517
8516990 KingsPoint/WilletsPoint	0.848 0.063 0.236	0.051	0.224 0.240
8518750 TheBattery	0.676 0.030 0.149	0.022	0.058 0.124
8531680 SandyHook	0.706 0.039 0.157	0.030	0.142 0.175
8534720 AtlanticCity	0.674 0.031 0.137	0.023	0.097 0.162
8536110 CapeMay	0.638 0.043 0.130	0.031	-0.138 0.222
8545240 Philadelphia	0.589 0.033 0.158	0.023	-0.038 0.125
8557380 Lewes	0.669 0.036 0.136	0.027	0.079 0.195
8571892 Cambridge	0.503 0.029 0.089	0.024	0.187 0.279
8574680 Baltimore	0.533 0.028 0.132	0.023	0.264 0.143
8575512 Annapolis	0.510 0.028 0.118	0.023	0.247 0.140
8577330 SolomonsIsland	0.478 0.028 0.110	0.020	-0.026 0.139
8594900 Washington	0.557 0.046 0.188	0.042	0.413 0.182
8632200 Kiptopeke	0.579 0.033 0.117	0.025	0.090 0.186
8635150 ColonialBeach	0.498 0.035 0.093 0.029	0.251 0.304
8635750 Lewisetta	0.488 0.035 0.099 0.027	0.146 0.215
8637624 GloucesterPoint	0.582 0.042 0.141 0.030	0.044 0.158
8638610 SewellsPoint	0.678 0.041 0.170 0.031	0.120 0.163
8638660 Portsmouth	0.697 0.052 0.170 0.038	0.076 0.196
8638863 Ches.BayBridgeTunnel	0.653 0.055 0.145 0.042	0.105 0.302
8656483 Beaufort	0.424 0.037 0.121 0.029	0.163 0.203
8658120 Wilmington	0.375 0.026 0.104 0.018	0.045 0.127
8661070 SpringmaidPier	0.574 0.027 0.088 0.018	-0.026 0.122
8665530 Charleston	0.526 0.022 0.094 0.017	0.234 0.153
8670870 FortPulaski	0.579 0.018 0.072 0.014	0.101 0.147
8720030 FernandinaBeach	0.556 0.021 0.096 0.016	0.154 0.118
8720220 Mayport	0.428 0.018 0.076 0.013	-0.010 0.148
8723170 MiamiBeach	0.391 0.033 0.105 0.025	0.140 0.181
8723970 VacaKey	0.268 0.020 0.057 0.017	0.325 0.242
8724580 KeyWest	0.276 0.014 0.067 0.010	0.053 0.096
8725110 Naples	0.414 0.034 0.104 0.027	0.172 0.249
8725520 FortMyers	0.418 0.047 0.141 0.037	0.177 0.250
8726520 St.Petersburg	0.445 0.037 0.129 0.030	0.224 0.252
8726724 ClearwaterBeach	0.467 0.048 0.122 0.040	0.257 0.370
8727520 CedarKey	0.524 0.036 0.152 0.029	0.224 0.171
8729840 Pensacola	0.397 0.030 0.126 0.027	0.426 0.194
8735180 DauphinIsland	0.404 0.046 0.131 0.041	0.385 0.248
8761724 GrandIsle	0.433 0.047 0.168 0.039	0.261 0.206
8764311 EugeneIsland	0.567 0.066 0.171 0.053	0.228 0.289
8770570 SabinePass	0.498 0.053 0.175 0.042	0.238 0.172
8771450 GalvestonPier21	0.522 0.038 0.172 0.034	0.386 0.175
8771510 GalvestonPleasurePier	0.592 0.066 0.212 0.055	0.292 0.208
8772440 Freeport	0.532 0.047 0.155 0.036	0.128 0.222
8774770 Rockport	0.351 0.033 0.105 0.028	0.331 0.282
8778490 PortMansfield	0.388 0.046 0.116 0.035	0.135 0.270
8779750 PadreIsland	0.341 0.043 0.115 0.038	0.401 0.277
8779770 PortIsabel	0.373 0.027 0.103 0.023	0.282 0.170
9410170 SanDiego	0.554 0.012 0.058 0.008	-0.190 0.090
9410230 LaJolla	0.525 0.014 0.058 0.009	-0.213 0.129
9410580 NewportBeach	0.536 0.018 0.052 0.012	-0.167 0.176
9410660 LosAngeles	0.536 0.012 0.054 0.009	-0.172 0.123
9410840 SantaMonica	0.536 0.014 0.054 0.010	0.045 0.156
9411270 RinconIsland	0.548 0.030 0.073 0.021	-0.182 0.233
