"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 100 100 100 100 100 100 100 100 100
"0.5_-_MED" 100 100 100 100 100 100 100 100 100
"1.0_-_MED" 100 100 100 100 100 100 100 NA NA
"1.5_-_MED" 100 100 100 100 100 NA NA NA NA
"2.0_-_MED" 100 100 100 100 NA NA NA NA NA
"2.5_-_MED" 100 100 100 NA NA NA NA NA NA
"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 4.55 4.95 5.52 6.18 6.93 7.8 8.39 9.25 9.73
"0.5_-_MED" 4.74 5.4 6.18 7.1 8.39 9.73 11.05 12.6 14.04
"1.0_-_MED" 5.4 6.77 8.59 11.64 16.59 25.93 44.11 83.99 100
"1.5_-_MED" 6.18 8.59 12.27 19.73 37.1 87.5 100 100 100
"2.0_-_MED" 7.1 10.5 18.07 39.73 100 100 100 NA NA
"2.5_-_MED" 6.77 11.34 23.62 63.7 100 100 NA NA NA
"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.31 0.32 0.34 0.36 0.38 0.41 0.42 0.44 0.46
"0.5_-_MED" 0.31 0.34 0.36 0.39 0.42 0.46 0.49 0.52 0.55
"1.0_-_MED" 0.34 0.38 0.43 0.5 0.59 0.73 0.91 1.18 1.53
"1.5_-_MED" 0.36 0.43 0.51 0.64 0.85 1.2 1.85 3.03 5.52
"2.0_-_MED" 0.39 0.47 0.62 0.87 1.41 2.42 4.74 13.66 56.87
"2.5_-_MED" 0.38 0.49 0.7 1.06 2.02 4.36 12.94 77.47 100
"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.07 0.07 0.08 0.08 0.08 0.09 0.09 0.09 0.09
"0.5_-_MED" 0.07 0.08 0.08 0.08 0.09 0.09 0.1 0.1 0.11
"1.0_-_MED" 0.08 0.08 0.09 0.1 0.11 0.13 0.15 0.18 0.21
"1.5_-_MED" 0.08 0.09 0.1 0.12 0.14 0.18 0.24 0.32 0.46
"2.0_-_MED" 0.08 0.1 0.12 0.15 0.2 0.28 0.42 0.76 1.51
"2.5_-_MED" 0.08 0.1 0.13 0.17 0.25 0.4 0.74 1.73 5.06
"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.02 0.02 0.02 0.03 0.03 0.03 0.03 0.03 0.03
"0.5_-_MED" 0.02 0.02 0.03 0.03 0.03 0.03 0.03 0.03 0.03
"1.0_-_MED" 0.02 0.03 0.03 0.03 0.03 0.04 0.04 0.05 0.05
"1.5_-_MED" 0.03 0.03 0.03 0.03 0.04 0.05 0.06 0.07 0.09
"2.0_-_MED" 0.03 0.03 0.03 0.04 0.05 0.07 0.09 0.13 0.21
"2.5_-_MED" 0.03 0.03 0.04 0.05 0.06 0.09 0.13 0.23 0.44
